datetime,S,K,sigma,T_years,combo_exec,legs_exec_mean,legging_extra_mean,legging_extra_p50,legging_extra_p90,legging_extra_p99,total_cost_legs_mean,total_extra_mean,total_extra_p90,total_extra_p99
2023-03-31,409.39,409.0,0.187908287302715,0.07671232876712329,16.99480202646717,16.99674343418933,0.0019414077221614197,0.0017015472041599367,0.01414604841880198,0.023937166275408144,1699.6743434189332,0.19414077221614198,1.414604841880198,2.3937166275408144
2023-04-03,410.95,411.0,0.1871416645408539,0.0821917808219178,17.592704429576663,17.594709332550305,0.002004902973643147,0.0017613673885623626,0.014405404471218828,0.02435308073744223,1759.4709332550308,0.20049029736431467,1.4405404471218828,2.435308073744223
2023-05-01,415.51,416.0,0.1433488192483995,0.0821917808219178,13.638833830273285,13.640392947389575,0.0015591171162894556,0.0013655541379042901,0.011418607920145261,0.01932765980910092,1364.0392947389573,0.15591171162894557,1.141860792014526,1.9327659809100919
2023-05-31,417.85,418.0,0.1583935800425219,0.0821917808219178,15.14292808079172,15.144655420021966,0.0017273392302473844,0.001516112929184743,0.012483848764188286,0.021112641283413582,1514.4655420021968,0.17273392302473844,1.2483848764188286,2.1112641283413582
2023-06-01,421.82,422.0,0.1446738913461528,0.07945205479452055,13.72902540492484,13.730595561061385,0.0015701561365458882,0.001374590290734723,0.011527356256667074,0.019515065157110288,1373.0595561061386,0.15701561365458883,1.1527356256667074,1.951506515711029
2023-06-30,443.28,443.0,0.1248691528501521,0.07671232876712329,12.231029415207837,12.232427838084778,0.0013984228769399725,0.00122460185857598,0.010243713586457657,0.0173397508485166,1223.2427838084777,0.13984228769399726,1.0243713586457657,1.7339750848516602
2023-07-03,443.79,444.0,0.1210191573055375,0.0821917808219178,12.289965005910176,12.291368411258203,0.0014034053480276826,0.001230487782875933,0.010210146080646075,0.017274779663913258,1229.1368411258204,0.14034053480276823,1.0210146080646074,1.7274779663913258
2023-08-01,456.48,456.0,0.1161163059403939,0.0821917808219178,12.124979028353355,12.126357599833243,0.001378571479887306,0.0012139129727648523,0.009760565743219905,0.016484738372207854,1212.6357599833243,0.13785714798873058,0.9760565743219906,1.6484738372207854
2023-08-31,450.35,450.0,0.1302096482392274,0.07945205479452055,13.186624305596704,13.188128055018256,0.0015037494215528362,0.0013202424944855906,0.010843877302462699,0.01833676714902743,1318.8128055018256,0.1503749421552836,1.0843877302462699,1.833676714902743
2023-09-01,451.19,451.0,0.1312448678585217,0.07671232876712329,13.084937544587916,13.08643447902058,0.0014969344326617976,0.001310105573492315,0.011004788996256386,0.018632320351482694,1308.6434479020577,0.14969344326617975,1.1004788996256385,1.8632320351482694
2023-09-29,427.48,427.0,0.1508523819242835,0.07671232876712329,14.248380684165298,14.250007753557055,0.0016270693917568295,0.0014265654183853727,0.01182875807740764,0.020013042570377036,1425.0007753557054,0.16270693917568296,1.182875807740764,2.0013042570377033
2023-10-02,427.31,427.0,0.1510347264245407,0.0821917808219178,14.760023495043942,14.761703336860494,0.0016798418165508149,0.0014777406300821028,0.011968988133265055,0.020223037288491945,1476.1703336860492,0.16798418165508147,1.1968988133265055,2.0223037288491943
2023-11-01,422.66,423.0,0.1582467595416351,0.0821917808219178,15.30838074243405,15.310128567932775,0.001747825498725992,0.0015326932180963482,0.012704424214695285,0.02149365089308579,1531.0128567932775,0.1747825498725992,1.2704424214695285,2.1493650893085787
2023-12-01,459.1,459.0,0.1144819134194151,0.07671232876712329,11.614619821544542,11.61594948657284,0.0013296650282983425,0.0011629014694065631,0.009817062431737255,0.016625903788672427,1161.594948657284,0.13296650282983424,0.9817062431737255,1.6625903788672425
2023-12-29,475.31,475.0,0.1139054202769742,0.07671232876712329,11.963840121441429,11.965207863902842,0.0013677424614155149,0.0011978489528692293,0.010013084507448332,0.01694872079969231,1196.5207863902845,0.13677424614155148,1.001308450744833,1.6948720799692307
2024-01-02,472.65,473.0,0.1193892731380642,0.0821917808219178,12.91646763188239,12.91794371802151,0.0014760861391198959,0.0012932247611781023,0.010790104067233129,0.018261613967827453,1291.794371802151,0.1476086139119896,1.0790104067233128,1.8261613967827455
2024-02-01,489.2,489.0,0.1289160433384168,0.07945205479452055,14.182222224981533,14.183841139175842,0.0016189141943084913,0.0014199368669842727,0.011747603426722717,0.019873023441017986,1418.3841139175843,0.16189141943084914,1.1747603426722717,1.9873023441017985
2024-03-01,512.85,513.0,0.1256190316632767,0.07671232876712329,14.240289382497402,14.241921855599943,0.0016324731025414987,0.001425814628422728,0.012151953827445714,0.02059088710267054,1424.1921855599942,0.16324731025414985,1.2151953827445714,2.059088710267054
2024-04-01,522.16,522.0,0.1208776125448705,0.0821917808219178,14.436963652072524,14.438608680604236,0.0016450285317111313,0.0014454149190914478,0.011808902480361991,0.019962368669038187,1443.8608680604236,0.16450285317111316,1.1808902480361991,1.9962368669038189
2024-05-01,500.35,500.0,0.1473324524258115,0.0821917808219178,16.85952680203121,16.86144572264403,0.0019189206128228627,0.0016879394727880026,0.013678464520977937,0.023112074276089443,1686.144572264403,0.19189206128228625,1.3678464520977938,2.3112074276089443
2024-05-31,527.37,527.0,0.1151569817513367,0.07671232876712329,13.420110778841945,13.421644772737723,0.001533993895777469,0.001343652143726004,0.011219716375816445,0.01898999779048361,1342.1644772737723,0.15339938957774688,1.1219716375816444,1.898999779048361
2024-06-03,527.8,528.0,0.1131205276038046,0.0821917808219178,13.661593757872339,13.663153678066243,0.0015599201939022122,0.0013678160319834376,0.011343751953210733,0.019192198737558848,1366.3153678066242,0.15599201939022123,1.1343751953210732,1.9192198737558848
2024-07-01,545.34,545.0,0.0993855255677236,0.0821917808219178,12.397727631370724,12.399138902776109,0.0014112714053849409,0.0012412354942474835,0.010068164513483068,0.017012790824367515,1239.913890277611,0.1411271405384941,1.0068164513483067,1.7012790824367514
2024-07-31,550.81,551.0,0.1579133066049211,0.0821917808219178,19.900713062595056,19.90298307180517,0.0022700092101145277,0.001992462863274369,0.016403773826727884,0.027741777595894905,1990.298307180517,0.2270009210114528,1.6403773826727883,2.7741777595894908
2024-08-01,543.01,543.0,0.1742765826327281,0.07945205479452055,21.2831195427124,21.285550093791645,0.0024305510792450302,0.0021308950685057226,0.017684927458987684,0.029922218457049635,2128.555009379164,0.24305510792450302,1.7684927458987685,2.9922218457049636
2024-08-30,563.68,564.0,0.1641794837959106,0.07671232876712329,20.45913375780978,20.461478801096018,0.0023450432862370894,0.00204847567619737,0.017440928290935884,0.02955115666218442,2046.1478801096016,0.23450432862370893,1.7440928290935884,2.9551156662184423
2024-09-03,552.08,552.0,0.1873683401803091,0.0821917808219178,23.659949230353224,23.662644287505465,0.0026950571522404944,0.002368803023157895,0.019306560393017234,0.03263235899378162,2366.264428750547,0.2695057152240494,1.9306560393017234,3.2632358993781616
2024-10-01,568.62,569.0,0.1628452779649803,0.0821917808219178,21.190689579730066,21.19310808530702,0.0024185055769551517,0.0021216282314657775,0.017537673051391776,0.02966609614194989,2119.310808530702,0.24185055769551522,1.7537673051391776,2.966609614194989
2024-10-31,568.64,569.0,0.1851462951228898,0.07945205479452055,23.686919505798315,23.689627405552645,0.0027078997543318883,0.0023715933836481184,0.019830107970622988,0.03356566697784635,2368.9627405552646,0.27078997543318883,1.9830107970622988,3.356566697784635
2024-11-01,571.04,571.0,0.1759583170612771,0.07671232876712329,22.204176074597473,22.20671726115492,0.0025411865574510167,0.0022231621122053014,0.01872640836007626,0.03171070897458004,2220.6717261154927,0.2541186557451017,1.872640836007626,3.1710708974580037
2024-11-29,602.55,603.0,0.1284033556164239,0.07671232876712329,17.10883560172315,17.11079923663758,0.001963634914428865,0.0017130507125049377,0.014720814345912102,0.02495476017035048,1711.0799236637577,0.19636349144288648,1.47208143459121,2.495476017035048
2024-12-02,603.63,604.0,0.1273053576561828,0.0821917808219178,17.586740577037453,17.58874924326591,0.0020086662284574926,0.001760811962553177,0.014632265092237515,0.02475870431142172,1758.874924326591,0.2008666228457493,1.4632265092237515,2.475870431142172
2025-01-02,584.64,585.0,0.1651107489745319,0.07945205479452055,21.71862896392973,21.72111281034325,0.0024838464135193863,0.0021745322577686466,0.01823250115043322,0.03086614130476401,2172.111281034325,0.24838464135193863,1.823250115043322,3.0866141304764008
2025-01-31,601.82,602.0,0.1543422494292665,0.07671232876712329,20.530995809327443,20.533348160542566,0.002352351215123433,0.002055662164497818,0.017453711849266893,0.02956837825637552,2053.3348160542564,0.23523512151234333,1.7453711849266893,2.9568378256375523
