datetime,S,sigma,K,expiry,T_years,contracts,shares,opt_price_straddle,opt_value,delta_opt,gamma_opt,vega_1pct_opt,theta_day_opt,cash,equity
2021-07-15,434.75,0.14445849538312291,430.0,2021-07-30,0.0410958904109589,1.0,-3.6278335725413946,10.805052033671785,1080.5052033671786,30.330365537280553,5.8085359494094275,65.17594617622929,-31.384063732631617,98023.67425314254,97526.97881084736
2021-07-16,431.34,0.15508667935847759,430.0,2021-07-30,0.038356164383561646,1.0,-3.6278335725413946,10.491333152460896,1049.1333152460898,9.363630485516584,6.048167394622643,66.93803187138599,-37.07570387758997,98023.67425314254,97507.97783520863
2021-07-19,424.97,0.17775416649653725,430.0,2021-07-30,0.030136986301369864,1.0,-3.6278335725413946,11.280733324524022,1128.0733324524022,-28.554883982314937,5.690392815691761,55.052672081280804,-44.481099269160254,98023.67425314254,97610.02715227203
2021-07-20,431.06,0.161143350082522,430.0,2021-07-30,0.0273972602739726,1.0,-3.6278335725413946,9.201136085668026,920.1136085668026,8.413499579469057,6.901013653531578,56.611916770020784,-45.613169614570296,98023.67425314254,97379.97392192965
2021-07-21,434.55,0.15095351634032947,430.0,2021-07-30,0.024657534246575342,1.0,-3.6278335725413946,8.968380324975186,896.8380324975186,35.1543416606719,6.981485859903206,49.07047367976447,-41.15200305803353,98023.67425314254,97344.0372066922
2021-07-22,435.46,0.1494765877411843,430.0,2021-07-30,0.021917808219178082,1.0,-3.6278335725413946,8.849778886920205,884.9778886920205,43.89224416010309,6.992920874322843,43.44356419202455,-40.58622334211831,98023.67425314254,97328.87573433568
2021-07-23,439.94,0.14788741241155517,430.0,2021-07-30,0.019178082191780823,1.0,-73.98795334987783,11.12457845624116,1112.457845624116,73.98795334987783,4.697264138212877,25.785067279570285,-27.237763420239343,128977.90534798393,97540.1029968628
2021-07-26,441.02,0.15009928193898037,430.0,2021-07-30,0.010958904109589041,1.0,-73.98795334987783,11.330320188302966,1133.0320188302967,89.44012253403844,3.108396809770106,9.944862111709606,-18.6589582743723,128977.90534798393,97480.77018045112
2021-07-27,439.01,0.16163921455100688,430.0,2021-07-30,0.00821917808219178,1.0,-73.98795334987783,9.461616691551356,946.1616691551355,84.50953469819882,4.509786341328432,11.547285789215723,-31.108236752747214,128977.90534798393,97442.6156170092
2021-07-28,438.83,0.1553942225719065,430.0,2021-07-30,0.005479452054794521,1.0,-73.98795334987783,8.984899505760556,898.4899505760555,92.37509036827353,3.2834197222318386,5.3838260743694155,-20.915386682224863,128977.90534798393,97408.2617300331
2021-07-29,440.65,0.15190649811890933,430.0,2021-07-30,0.0027397260273972603,1.0,-73.98795334987783,10.65201008931868,1065.2010089318678,99.79367763051769,0.1977713119119686,0.1598211793226724,-1.2138937838070705,128977.90534798393,97440.31471329214
2021-07-30,438.51,0.15556096778062084,439.0,2021-08-27,0.07671232876712329,1.0,0.3492724219814336,15.08716385170166,1508.7163851701662,-0.3492724219814336,4.223020396046122,96.90540155951557,-26.91910366029987,95722.57208959576,97384.447924529
