datetime,close,hv,vix,sigma_proxy
2022-02-04,448.7,0.19957744623485402,23.22,0.2191509784939416
2022-02-07,447.26,0.19950261659429863,22.86,0.21696104663771948
2022-02-08,450.94,0.20280160108689152,21.44,0.20976064043475662
2022-02-09,457.54,0.2074821818313901,19.96,0.20275287273255604
2022-02-10,449.32,0.2151650006078261,23.91,0.22952600024313044
2022-02-11,440.46,0.22045710928578724,27.36,0.2523428437143149
2022-02-14,439.02,0.22016448613705947,28.33,0.2580457944548238
2022-02-15,446.1,0.22232220024491225,25.7,0.2431288800979649
2022-02-16,446.6,0.21968875647019595,24.29,0.2336155025880784
2022-02-17,437.06,0.22928687372304699,28.11,0.2603747494892188
2022-02-18,434.23,0.21951930404023115,27.75,0.2543077216160925
2022-02-22,429.57,0.2217508534897075,28.81,0.261560341395883
2022-02-23,421.95,0.22632690114415083,31.02,0.27665076045766035
2022-02-24,428.3,0.23361118650732093,30.32,0.27536447460292834
2022-02-25,437.75,0.2459870444928204,27.59,0.26393481779712813
2022-02-28,436.63,0.2294913514212706,30.15,0.27269654056850823
2022-03-01,429.98,0.22427637190862862,33.32,0.28963054876345146
2022-03-02,437.89,0.2338993028443214,30.74,0.27799972113772853
2022-03-03,435.71,0.2302170053493159,30.48,0.27496680213972635
2022-03-04,432.17,0.21730524233685858,31.98,0.27880209693474345
2022-03-07,419.43,0.23770249894236725,36.45,0.31378099957694694
2022-03-08,416.25,0.23817537874150901,35.13,0.30605015149660364
2022-03-09,427.41,0.25814845960080024,32.45,0.2979593838403201
2022-03-10,425.48,0.25003379569571665,30.23,0.2813935182782867
2022-03-11,420.07,0.24662650848775328,30.75,0.28315060339510134
2022-03-14,417.0,0.23936550979370969,31.77,0.28636620391748385
2022-03-15,426.17,0.2546184689592196,29.83,0.28082738758368786
2022-03-16,435.62,0.26081822960556333,26.67,0.26434729184222533
2022-03-17,441.07,0.26520113770808434,25.67,0.26010045508323376
2022-03-18,444.52,0.2546877273433611,23.87,0.24509509093734444
2022-03-21,444.39,0.2532636837762874,23.53,0.24248547351051497
2022-03-22,449.59,0.2517383338859346,22.94,0.23833533355437386
2022-03-23,443.8,0.24705787177212868,23.57,0.24024314870885147
2022-03-24,450.49,0.2470744180037371,21.67,0.22884976720149486
2022-03-25,452.69,0.2366190399663154,20.81,0.21950761598652613
2022-03-28,455.91,0.2368049246418135,19.63,0.2125019698567254
2022-03-29,461.55,0.22992730500895384,18.9,0.2053709220035815
2022-03-30,458.7,0.22553847552111464,19.33,0.20619539020844585
2022-03-31,451.64,0.2330293150348542,20.56,0.21657172601394165
2022-04-01,452.92,0.23004965173605849,19.63,0.2097998606944234
2022-04-04,456.8,0.19657183684920707,18.57,0.19004873473968284
2022-04-05,451.03,0.2014340025880196,21.03,0.20675360103520785
2022-04-06,446.52,0.1887660277538063,22.1,0.2081064111015225
2022-04-07,448.77,0.18730019544538867,21.55,0.20422007817815546
2022-04-08,447.57,0.17950329276289187,21.16,0.19876131710515674
2022-04-11,439.92,0.1903099253892108,24.37,0.2223439701556843
